"Figma","Base","DirectCount","DirectExamples"
"AbaLancamentosCusto.tsx","AbaLancamentosCusto","0",""
"AvisoArmazenamentoLocal.tsx","AvisoArmazenamentoLocal","0",""
"BackupDados.tsx","BackupDados","0",""
"CardAluno.tsx","CardAluno","0",""
"CardInstrutorTurma.tsx","CardInstrutorTurma","0",""
"CardLancamentoAgrupado.tsx","CardLancamentoAgrupado","0",""
"CardLoteModulo08.tsx","CardLoteModulo08","0",""
"ContextGuard.tsx","ContextGuard","0",""
"DiagnosticoPersistencia.tsx","DiagnosticoPersistencia","0",""
"DialogAdicionarAlunoIndividual.tsx","DialogAdicionarAlunoIndividual","0",""
"DialogAdicionarFilaEspera.tsx","DialogAdicionarFilaEspera","0",""
"DialogAdicionarInstrutor.tsx","DialogAdicionarInstrutor","0",""
"DialogAgendarProva.tsx","DialogAgendarProva","0",""
"DialogAprovarAlunosImportados.tsx","DialogAprovarAlunosImportados","0",""
"DialogAutorizarLotePagamento.tsx","DialogAutorizarLotePagamento","0",""
"DialogAutorizarPagamento.tsx","DialogAutorizarPagamento","0",""
"DialogConfirmarPagamento.tsx","DialogConfirmarPagamento","0",""
"DialogCustosInstrutor.tsx","DialogCustosInstrutor","0",""
"DialogDocumentosAluno.tsx","DialogDocumentosAluno","0",""
"DialogEditarClientePJ.tsx","DialogEditarClientePJ","0",""
"DialogEmpresa.tsx","DialogEmpresa","0",""
"DialogExcluirLancamento.tsx","DialogExcluirLancamento","0",""
"DialogListaPresenca.tsx","DialogListaPresenca","0",""
"DialogPagamento.tsx","DialogPagamento","0",""
"DialogPermissoesUsuario.tsx","DialogPermissoesUsuario","0",""
"DialogPrecificacoesEmpresa.tsx","DialogPrecificacoesEmpresa","0",""
"DialogProvasInstrutor.tsx","DialogProvasInstrutor","0",""
"DialogRelatorioInstrutor.tsx","DialogRelatorioInstrutor","0",""
"DialogRelatorioTurma.tsx","DialogRelatorioTurma","0",""
"DialogResultadoProva.tsx","DialogResultadoProva","0",""
"DialogSelecionarSubstituto.tsx","DialogSelecionarSubstituto","0",""
"DialogTransferirTurma.tsx","DialogTransferirTurma","0",""
"DialogUploadPlanilha.tsx","DialogUploadPlanilha","0",""
"DocumentoAdministrativo.tsx","DocumentoAdministrativo","0",""
"DownloadProjetoCompleto.tsx","DownloadProjetoCompleto","0",""
"EditorFoto.tsx","EditorFoto","0",""
"ErrorBoundary.tsx","ErrorBoundary","1","ErrorBoundary.tsx"
"FormularioMatricula.tsx","FormularioMatricula","0",""
"gerarReciboHelper.ts","gerarReciboHelper","0",""
"Layout.tsx","Layout","0",""
"LimparDados.tsx","LimparDados","0",""
"MigracaoDadosIRATA.tsx","MigracaoDadosIRATA","0",""
"Modulo00.tsx","Modulo00","0",""
"Modulo01.tsx","Modulo01","0",""
"Modulo02.tsx","Modulo02","0",""
"Modulo03.tsx","Modulo03","0",""
"Modulo04.tsx","Modulo04","0",""
"Modulo05.tsx","Modulo05","0",""
"Modulo06.tsx","Modulo06","0",""
"Modulo06Detalhado.tsx","Modulo06Detalhado","0",""
"Modulo07.tsx","Modulo07","0",""
"Modulo08.tsx","Modulo08","0",""
"Modulo09.tsx","Modulo09","0",""
"PaginaMatriculaAluno.tsx","PaginaMatriculaAluno","0",""
